Watchlist 'DJIM'

DJIM
Symbol,%Change,Last,PE
AAPL,0.00%,110.06,13.24
XOM,0.00%,85.28,39.85
MSFT,0.00%,60.35,28.88
JNJ,0.00%,115.36,20.24
WMT,0.00%,68.54,14.77
PG,0.00%,82.00,21.93
BABA,0.00%,93.39,7.189
PFE,0.00%,31.48,35.37
CVX,0.00%,109.20,-136.5
ORCL,0.00%,39.86,18.98
FB,0.00%,117.02,45.18
KO,0.00%,40.91,24.79
GOOGL,0.00%,775.97,28.39
IBM,0.00%,160.39,13.1
MRK,0.00%,61.87,31.57
HD,0.00%,128.33,21.68
GILD,0.00%,74.62,6.929
INTC,0.00%,34.95,16.41
PEP,0.00%,101.31,22.22
V,0.00%,80.82,32.59
CVS,0.00%,74.04,15.89
QCOM,0.00%,67.31,17.67
BMY,0.00%,56.76,28.38
MDT,0.00%,80.93,31.49
BIIB,0.00%,317.00,17.92
MMM,0.00%,172.96,21.78
SLB,0.00%,80.00,-42.11
CELG,0.00%,121.97,46.38
UNP,0.00%,99.83,20.01
MA,0.00%,104.78,28.94
ABBV,0.00%,60.52,16.36
MCD,0.00%,120.00,22.56
WBA,0.00%,83.27,21.8
LLY,0.00%,76.67,33.33
HON,0.00%,112.09,17.54
COP,0.00%,44.76,-7.908
ABT,0.00%,39.84,43.78
SBUX,0.00%,55.77,31.33
DD,0.00%,68.84,30.19
EBAY,0.00%,28.69,18.51
LOW,0.00%,69.31,22.21
NKE,0.00%,51.10,23.02
UPS,0.00%,114.09,20.34
CL,0.00%,65.86,42.77
DHR,0.00%,78.99,22.06
PCLN,0.00%,1507.35,38.41
TXN,0.00%,72.60,23.12
ESRX,0.00%,75.77,17.95
ACN,0.00%,118.43,18.36
BIDU,0.00%,164.38,1.811
MDLZ,0.00%,42.92,75.3
MON,0.00%,101.21,33.85
OXY,0.00%,68.22,-9.515
FDX,0.00%,187.29,27.79
EOG,0.00%,93.15,-41.22
REGN,0.00%,397.48,58.03
DPS,0.00%,83.48,18.11
TJX,0.00%,77.73,22.6
CRM,0.00%,77.77,246.7
YHOO,0.00%,41.19,-8.045
APC,0.00%,61.51,-8.256
EMR,0.00%,54.20,21.51
PSX,0.00%,83.64,21.9
ADBE,0.00%,105.02,53.58
ADP,0.00%,94.39,28.26
JD,0.00%,26.45,-3.741
KMB,0.00%,113.11,20.57
LYB,0.00%,83.12,9.185
HAL,0.00%,49.31,-7.517
ALXN,0.00%,119.85,399.5
BAX,0.00%,46.98,5.267
CTSH,0.00%,55.57,21.71
ITW,0.00%,123.96,22.62
SYK,0.00%,111.44,25.38
ETN,0.00%,64.15,15.17
IR,0.00%,74.46,12.9
JCI,0.00%,44.71,44.71
PH,0.00%,136.08,22.57
PX,0.00%,115.78,21.97
ADM,0.00%,43.49,16.6
GIS,0.00%,61.26,22.28
TWTR,0.00%,18.73,-34.05
YUM,0.00%,62.36,15.95
APD,0.00%,137.96,51.67
BDX,0.00%,171.86,32.8
ECL,0.00%,114.28,31.74
NSC,0.00%,103.45,19.12
PSA,0.00%,203.97,31.24
PPG,0.00%,95.19,30.32
LUV,0.00%,47.06,13.37
VFC,0.00%,54.52,20.73
CAH,0.00%,70.77,17.14
MU,0.00%,19.21,-71.15
VRTX,0.00%,89.44,-99.38
AMAT,0.00%,30.74,24.2
GLW,0.00%,23.83,11.97
INTU,0.00%,115.98,31.43
LNKD,0.00%,193.64,-156.2
TEL,0.00%,66.67,12.26
BHI,0.00%,60.86,-7.935
SHW,0.00%,260.29,21.73
TSLA,0.00%,185.02,-28.91
CMI,0.00%,135.03,19.48
ILMN,0.00%,131.87,44.25
MPC,0.00%,43.31,20.24
LB,0.00%,70.17,17.16
NXPI,0.00%,98.88,34.33
APA,0.00%,62.08,-1.303
CERN,0.00%,49.53,26.21
PRGO,0.00%,88.14,90.87
PXD,0.00%,178.19,-24.58
BSX,0.00%,21.34,426.8
DLPH,0.00%,68.19,16.01
EL,0.00%,77.41,26.42
SCCO,0.00%,31.70,36.86
ZTS,0.00%,49.89,35.89
DG,0.00%,76.87,18
MNST,0.00%,41.68,37.44
NOV,0.00%,35.21,-4.172
SYY,0.00%,53.14,29.36
WDC,0.00%,60.93,60.93
HES,0.00%,50.97,-4.836
ORLY,0.00%,265.74,25.73
STJ,0.00%,80.02,35.1
AZO,0.00%,755.24,18.56
MRO,0.00%,15.62,-7.368
MJN,0.00%,71.00,26.3
MCO,0.00%,100.56,21.67
ROST,0.00%,68.00,25.86
WFM,0.00%,30.96,21.65
ADI,0.00%,68.47,32.3
BMRN,0.00%,89.00,-30.38
FISV,0.00%,104.29,26.14
GPS,0.00%,25.61,14.47
NBL,0.00%,35.00,-5.185
QIWI,0.00%,12.83,.1571
SWKS,0.00%,78.21,15.49
APH,0.00%,68.04,27.33
EA,0.00%,78.99,20.36
MSCI,0.00%,79.69,31.37
PAYX,0.00%,55.93,26.51
ROP,0.00%,180.12,26.88
STX,0.00%,39.29,31.18
SYMC,0.00%,23.75,7.197
WY,0.00%,31.13,41.51
HSY,0.00%,97.942,26
ISRG,0.00%,654.89,35.29
MOS,0.00%,28.26,22.43
JWN,0.00%,58.94,25.19
NUE,0.00%,58.84,36.78
ROK,0.00%,131.20,23.6
A,0.00%,45.04,31.28
CPB,0.00%,54.23,29.96
CLX,0.00%,114.80,23.1
DLTR,0.00%,81.91,26.42
EW,0.00%,89.03,35.19
INCY,0.00%,103.63,131.2
MSI,0.00%,79.98,24.53
VIPS,0.00%,13.67,4.672
WHR,0.00%,161.05,14.07
GWW,0.00%,217.62,19.5
ADSK,0.00%,76.90,-49.61
CA,0.00%,31.01,16.24
CLR,0.00%,51.07,-33.38
GPC,0.00%,94.55,20.42
KORS,0.00%,47.57,10.96
AOS,0.00%,47.07,25.72
SWK,0.00%,121.56,18.5
TIF,0.00%,76.35,21.81
UA,0.00%,30.95,69.55
AKAM,0.00%,66.44,37.75
AME,0.00%,47.65,20.72
BBBY,0.00%,44.42,9.102
BWA,0.00%,35.68,14.5
BCR,0.00%,215.73,32.2
COG,0.00%,21.95,-40.65
FLT,0.00%,150.20,34.85
HBI,0.00%,24.61,19.08
QVCA,0.00%,21.07,20.26
MHK,0.00%,199.97,16.78
PNR,0.00%,57.80,-165.1
AR,0.00%,24.95,-35.64
ALV,0.00%,97.77,14.29
COH,0.00%,38.00,22.09
CXO,0.00%,130.05,-12.75
DOV,0.00%,70.16,22.42
EQT,0.00%,67.14,-27.29
EXPE,0.00%,125.67,109.3
HSIC,0.00%,156.96,26.07
SJM,0.00%,124.85,20.53
JNPR,0.00%,26.35,17.11
KSU,0.00%,87.57,19.42
LRCX,0.00%,104.71,20.82
LLTC,0.00%,61.00,30.05
PANW,0.00%,161.35,-62.3
RHT,0.00%,79.03,66.41
NOW,0.00%,85.75,-30.73
SRCL,0.00%,76.09,24.39
TRIP,0.00%,50.79,61.19
VRSK,0.00%,83.16,24.03
VMC,0.00%,128.00,46.55
AAP,0.00%,162.57,26.65
CHRW,0.00%,74.40,20.61
CHD,0.00%,44.79,25.82
CTXS,0.00%,86.82,29.13
EFX,0.00%,121.23,30.69
FAST,0.00%,44.80,26.05
